id,node_id,step,value
"11 - 5 = 6 (left: 1 5 6)
6 / 6 = 1 (left: 1)
",n884,2,0
"11 - 5 = 6 (left: 1 5 6)
5 + 6 = 11 (left: 11)
",n885,2,0
"11 - 5 = 6 (left: 1 5 6)
5 * 6 = 30 (left: 30)
",n886,2,0.0
"11 - 5 = 6 (left: 1 5 6)
5 - 6 = -1 (left: -1)
",n887,2,0
"11 - 5 = 6 (left: 1 5 6)
6 - 5 = 1 (left: 1)
",n888,2,0
"11 - 5 = 6 (left: 1 5 6)
6 / 5 = 1.2 (left: 1.2)
",n889,2,0.0
"11 - 5 = 6 (left: 1 5 6)
Input: 4 2 10
",n890,2,0.003
"11 - 5 = 6 (left: 1 5 6)
Possible next steps:
",n891,2,0.003
"11 - 5 = 6 (left: 1 5 6)
4 + 2 = 6 (left: 6 10)
",n892,2,3.0
"11 - 5 = 6 (left: 1 5 6)
2 + 4 = 6 (left: 6 10)
",n893,2,3.0
"11 - 5 = 6 (left: 1 5 6)
4 * 2 = 8 (left: 8 10)
",n894,2,1.001
"11 - 5 = 6 (left: 1 5 6)
2 * 4 = 8 (left: 8 10)
",n895,2,1.001
"11 - 5 = 6 (left: 1 5 6)
4 - 2 = 2 (left: 2 10)
",n896,2,3.0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
",n897,2,22.0
"11 - 5 = 6 (left: 1 5 6)
4 / 2 = 2 (left: 2 10)
",n898,2,3.0
"11 - 5 = 6 (left: 1 5 6)
2 / 4 = 0.5 (left: 0.5 10)
",n899,2,1.001
"11 - 5 = 6 (left: 1 5 6)
10 + 4 = 14 (left: 2 14)
",n900,2,1.002
"11 - 5 = 6 (left: 1 5 6)
10 + 2 = 12 (left: 4 12)
",n901,2,3.0
"11 - 5 = 6 (left: 1 5 6)
10 * 4 = 40 (left: 40)
",n902,2,0
"11 - 5 = 6 (left: 1 5 6)
10 * 2 = 20 (left: 20)
",n903,2,0
"11 - 5 = 6 (left: 1 5 6)
10 - 4 = 6 (left: 6)
",n904,2,0
"11 - 5 = 6 (left: 1 5 6)
10 - 2 = 8 (left: 8)
",n905,2,0
"11 - 5 = 6 (left: 1 5 6)
10 / 4 = 2.5 (left: 2.5)
",n906,2,0.003
"11 - 5 = 6 (left: 1 5 6)
10 / 2 = 5 (left: 5)
",n907,2,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
-2 + 10 = 8 (left: 8)
",n908,3,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
-2 * 10 = -20 (left: -20)
",n909,3,0.001
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 - (-2) = 12 (left: 12)
",n910,3,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
",n911,3,0.002
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 + 10 = 16 (left: 16)
",n912,3,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 * 10 = 60 (left: 60)
",n913,3,0.0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 - 6 = 4 (left: 4)
",n914,3,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 - 10 = -4 (left: -4)
",n915,3,0.001
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
",n916,3,0.002
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 / 10 = 0.6 (left: 0.6)
",n917,3,0.002
"10 + 1 = 11 (left: 5 10 11)
5 - 10 = -5 (left: -5 11)
-5 + 11 = 6 (left: 6)
",n918,3,0
"10 + 1 = 11 (left: 5 10 11)
5 - 10 = -5 (left: -5 11)
-5 - 11 = -16 (left: -16)
",n919,3,0.0
"10 + 1 = 11 (left: 5 10 11)
5 - 10 = -5 (left: -5 11)
-5 * 11 = -55 (left: -55)
",n920,3,0.0
"10 + 1 = 11 (left: 5 10 11)
5 - 10 = -5 (left: -5 11)
-5 / 11 = -0.4545 (left: -0.4545)
",n921,3,0.0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 + 5 = 0 (left: 0)
",n922,4,0.001
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 - 5 = -10 (left: -10)
",n923,4,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 * -1 = 5 (left: 5)
",n924,4,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 / -5 = 1 (left: 1)
",n925,4,0
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 + 1 = -4 (left: -4)
",n926,4,0.001
"11 - 5 = 6 (left: 1 5 6)
2 - 4 = -2 (left: -2 10)
10 / -2 = -5 (left: -5)
-5 - 1 = -6 (left: -6)
",n927,4,0.002
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 + 1 = 2.67
",n928,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 - 1 = 0.67
",n929,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 * 1 = 1.67
",n930,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 / 1.67 = 1
",n931,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 - 0.67 = 1
",n932,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
10 / 6 = 1.67 (left: 1.67)
1.67 / 0.67 = 2.49
",n933,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 / 10 = 0.6 (left: 0.6)
0.6 + 0.6 = 1.2
",n934,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 / 10 = 0.6 (left: 0.6)
0.6 * 0.6 = 0.36
",n935,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 / 10 = 0.6 (left: 0.6)
0.6 - 0.6 = 0
",n936,4,0
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
6 / 10 = 0.6 (left: 0.6)
0.6 / 0.6 = 1
",n937,4,0
